form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
རྩ་	རྩ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
མི་	མི་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
སྦྱིན་པ་	སྦྱིན་པ་	VERB
དཔལ་	དཔལ་	OTHER
གྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"། །

༄༅། །"		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
སྐད་	སྐད་	NOUN
དུ་	ལ་	PART
།		PUNCT
ཙཏུརཱ་		NON_WORD
སཱིཏཱིསིདྡཱ་		NON_WORD
པྲ་	པྲ་	NOUN
བྲྀཏྟེབྲྀཏཱཎཏ་		NON_WORD
།		PUNCT
བོད་སྐད་	བོད་སྐད་	PROPN
དུ་	ལ་	PART
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
རྩ་	རྩ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
རྣམས་	རྣམས་	DET
དང་	དང་	NO_POS
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
མཁའ་སྤྱོད་	མཁའ་སྤྱོད་	NOUN
གཤེགས་པ་	གཤེགས་པ་	VERB
རྣམས་	རྣམས་	DET
། །		PUNCT
དངོ་	དངོ་	NOUN
ཀྱི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བརྙེས་པ་	བརྙེས་པ་	VERB
འི་	གི་	PART
མི་	མི་	PART
འཇིགས་པ་	འཇིགས་པ་	VERB
འི་	གི་	PART
དཔལ་	དཔལ་	OTHER
ལ་	ལ་	PART
། །		PUNCT
ལུས་ངག་	ལུས་ངག་	NOUN
ཡིད་	ཡིད་	NOUN
གསུམ་	གསུམ་	NUM
དྭང་		NON_WORD
བ་	བ་	ADP
ཞབས་	ཞབས་	NOUN
ཀྱི་	གི་	PART
པདྨོ་		NON_WORD
དག་	དག་	DET
ལ་	ལ་	PART
གུ་	གུ་	VERB
བཏུད་	བཏུད་	NO_POS
ན་	ནས་	PART
། །		PUNCT
ལཱུ་		NON_WORD
ཧི་པ་	ཧི་པ་	NO_POS
སོགས་	སོགས་	DET
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
རྩ་	རྩ་	NUM
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཡང་དག་	ཡང་དག་	ADJ
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
བྲི་	བྲི་	NO_POS
། ། ༼		PUNCT
		
༽		PUNCT
ལཱུཧིཔཱའི་		NON_WORD
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
། ༈		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
གུརུལཱུཧིཔཱའི་		NON_WORD
ལོ་རྒྱུས་	ལོ་རྒྱུས་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
ལཱུཧི་		NON_WORD
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
ཉ་	ཉ་	NOUN
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ལྟོ་	ལྟོ་	NOUN
གསོལ་བ་	གསོལ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
མཚན་	མཚན་	NOUN
དུ་	ལ་	PART
བཏགས་པ་	བཏགས་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
སིངྒ་		NON_WORD
ལཱའི་		NON_WORD
གླིང་	གླིང་	NOUN
གི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
གཅིག་	གཅིག་	NUM
ལ་	ལ་	PART
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
ཀྱང་	ཀྱང་	PART
རྣམ་ཐོས་	རྣམ་ཐོས་	PROPN
ཀྱི་	གི་	PART
བུ་	བུ་	NOUN
དང་	དང་	NO_POS
མཉམ་པ་	མཉམ་པ་	VERB
།		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཁང་བཟང་	ཁང་བཟང་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
ནི་	ནི་	NO_POS
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
དང་	དང་	NO_POS
།		PUNCT
མུ་ཏིག་	མུ་ཏིག་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གསེར་དངུལ་	གསེར་དངུལ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ས་	གིས་	PART
བརྒྱན་པ་	བརྒྱན་པ་	VERB
ཡོད་	ཡོད་	VERB
ལ་	ལ་	PART
།		PUNCT
སྲ་	སྲ་	NOUN
ཀྱང་	ཀྱང་	PART
གསུམ་	གསུམ་	NUM
མངའ་བ་	མངའ་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཡབ་	ཡབ་	NOUN
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
གྲོངས་	གྲོངས་	NO_POS
ན་	ནས་	PART
དུས་	དུས་	NOUN
རེ་ཞིག་	རེ་ཞིག་	NO_POS
གི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
རྩི་	རྩི་	NOUN
མཁན་	མཁན་	PROPN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
སྲ་	སྲ་	NOUN
གང་	གང་	NO_POS
གིས་	གིས་	PART
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
ཟིན་པ་	ཟིན་པ་	VERB
རྩི་	རྩི་	NOUN
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དེ་	སྟེ་	PART
ན་རེ་	ན་རེ་	ADP
།		PUNCT
སྲ་	སྲ་	NOUN
བར་པ་	བར་པ་	NOUN
ས་	གིས་	PART
རྒྱལ་སྲིད་	རྒྱལ་སྲིད་	NOUN
བཟུང་	བཟུང་	NO_POS
ན་	ལ་	PART
ཆབ་སྲིད་	ཆབ་སྲིད་	NOUN
